top - 11:28:34 up  2:29,  2 users,  load average: 0,00, 0,00, 0,07
Tasks: 171 total,   1 running, 170 sleeping,   0 stopped,   0 zombie
%Cpu(s): 10,7 us,  5,3 sy,  0,0 ni, 84,0 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem :   3827,3 total,    631,2 free,    289,1 used,   2907,0 buff/cache
MiB Swap:    100,0 total,    100,0 free,      0,0 used.   3371,9 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  364 root      39  19   11768   4588   3988 S   0,0   0,1   0:00.07 alsactl
  365 root      20   0   27656     80      0 S   0,0   0,0   0:00.22 rngd
  370 root      20   0   25512   2724   2416 S   0,0   0,1   0:00.79 rsyslogd
  372 message+  20   0    6980   3604   2932 S   0,0   0,1   0:01.86 dbus-daem+
  376 root      20   0   65220  10700   8788 S   0,0   0,3   0:01.14 udisksd
  379 nobody    20   0    4320   2196   2024 S   0,0   0,1   0:00.10 thd
  383 root      20   0   10744   3728   3356 S   0,0   0,1   0:00.10 wpa_suppl+
  386 avahi     20   0    5892   2504   2252 S   0,0   0,1   0:02.21 avahi-dae+
  387 root      20   0   13156   5828   5140 S   0,0   0,1   0:00.78 systemd-l+
  401 avahi     20   0    5768    252      0 S   0,0   0,0   0:00.00 avahi-dae+
  419 root      20   0    3728   2852   1548 S   0,0   0,1   0:01.57 dhcpcd
  437 root      20   0    8628   2184   1992 S   0,0   0,1   0:00.01 vncserver+
  455 root      20   0  955960  43468  18332 S   0,0   1,1   0:10.73 containerd
  482 root      20   0   40104   7260   6504 S   0,0   0,2   0:00.08 lightdm
  497 root      20   0   41432   8388   6800 S   0,0   0,2   0:00.15 polkitd
  501 root      20   0   10728   5384   4832 S   0,0   0,1   0:00.02 sshd
  512 root      20   0   11136   3212   2596 S   0,0   0,1   0:02.27 wpa_suppl+
  537 root      20   0    5620   2740   2292 S   0,0   0,1   0:00.04 login
  553 root      20   0   14552   7448   6956 S   0,0   0,2   0:31.10 vncagent
  561 root      20   0 1007688  83888  34068 S   0,0   2,1   1:36.62 dockerd
  587 root      20   0   32400   7412   6644 S   0,0   0,2   0:00.07 lightdm
  604 pi        20   0   14848   7488   6384 S   0,0   0,2   0:08.03 systemd
  607 pi        20   0   16828   1728     88 S   0,0   0,0   0:00.00 (sd-pam)
  634 pi        20   0   56852  13128  11768 S   0,0   0,3   0:02.36 lxsession
  642 pi        20   0    6672   3528   3020 S   0,0   0,1   0:07.93 dbus-daem+
  703 pi        20   0    4520    288      0 S   0,0   0,0   0:00.05 ssh-agent
  730 pi        20   0   43612   6332   5648 S   0,0   0,2   0:00.15 gvfsd
  738 pi        20   0   56756   6492   5900 S   0,0   0,2   0:00.04 gvfsd-fuse
  745 pi        20   0   64688  17040  13144 S   0,0   0,4   0:05.27 openbox
  749 pi        20   0   47684  10996   9972 S   0,0   0,3   0:00.05 lxpolkit
  755 pi        20   0  424920  31604  24632 S   0,0   0,8   0:15.02 lxpanel
  768 pi        20   0    4520    288      0 S   0,0   0,0   0:00.00 ssh-agent
  773 pi        20   0    4872   1000    816 S   0,0   0,0   0:00.01 xcompmgr
  799 pi        20   0   52032  29604  16320 S   0,0   0,8   0:01.17 applet.py
  815 pi         9 -11  367972   8980   7732 S   0,0   0,2   0:00.21 pulseaudio
  816 pi        20   0    8492   3616   2708 S   0,0   0,1   0:00.10 bash
  842 rtkit     21   1   23188   2204   2012 S   0,0   0,1   0:00.16 rtkit-dae+
  875 pi        20   0   28696   6664   6120 S   0,0   0,2   0:00.04 menu-cach+
  876 pi        20   0   79980  10764   9420 S   0,0   0,3   0:06.37 gvfs-udis+
  898 pi        20   0   42512  16088  13400 S   0,0   0,4   0:01.00 vncserver+
  912 pi        20   0   56228   7104   6380 S   0,0   0,2   0:00.04 gvfs-afc-+
  917 pi        20   0   40300   4724   4324 S   0,0   0,1   0:00.04 gvfs-mtp-+
  922 pi        20   0   41868   4944   4456 S   0,0   0,1   0:00.04 gvfs-gpho+
  929 pi        20   0   32304  15464  13852 S   0,0   0,4   0:00.13 vncserver+
  930 pi        20   0   40304   4360   4044 S   0,0   0,1   0:00.02 gvfs-goa-+
  938 root      20   0  802820   7260   5744 S   0,0   0,2   0:01.39 container+
  951 pi        20   0   55820   9048   7960 S   0,0   0,2   0:01.44 gvfsd-tra+
  963 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/u+
  965 root      20   0    2140    128      0 S   0,0   0,0   0:00.00 hciattach
  980 root      20   0    9536   3376   3092 S   0,0   0,1   0:00.05 bluetoothd
  993 root      20   0     188      4      0 S   0,0   0,0   0:00.06 dumb-init
  999 root      10 -10       0      0      0 S   0,0   0,0   0:00.00 krfcommd
 1108 root      20   0  829060  31756  23008 S   0,0   0,8   0:10.58 gitlab-ru+
 1248 root      20   0   28476   7312   5812 S   0,0   0,2   0:00.05 cupsd
